jobName,companyName,salary,experience,place,companySize,special,school,description
Software Defined Data Center Solution Junior Engineer (RSD),美商安邁科技股份有限公司台灣分公司,面議,經歷不拘,台北市中山區,員工620人,外商公司,大學," improved efficiency and integrate data from different source.
You will collaborate closely with AMI global development teams to"
"Data Scientist (台北, 台南, 高雄)",潮網科技股份有限公司,月薪 4萬5仟元 至 8萬5仟元,經歷不拘,台北市中正區,員工60人,,大學,". 進行資料統計分析。
5. 演算法開發及優化。
6. 擅長Java, Python, Scala, R, SQL
7. 有Big Data分析經驗者(Distributed Systems/Big Data Processing/Cloud"
機器學習工程師 Data Scientist,英屬開曼群島商萬里雲互聯股份有限公司,面議,2年以上,台北市信義區,,,大學,"
Hadoop, Hive, Pig, Spark
Hands-on AI or Big Data experience in certain industry. Prioritize as below
Financial
IoT"
數據分析專員 Data Analyst,香港商台灣智威湯遜廣告有限公司台灣分公司,面議,2年以上,台北市南港區,員工100人,,大學,"Data Analyst 
兩年以上工作經驗
• 背景：數據分析或數位行銷，資訊/統計相關科系
• 具CRM / 數位行銷 / 策略規劃經驗與相關專業知識
• 專業技能：GA / AA / social media analytics"
Energy Services Data Analyst 資料分析師,Gogoro Taiwan Limited_睿能創意股份有限公司,面議,1年以上,台北市松山區,員工900人,,大學,作為Gogoro Energy Service Data Analyst資料分析師，展現主動積極並且提供整合性分析及解決方案建議，以利產品/設備上異常處理分析與提升產品/設備性能，達到產品/設備更精進與優化的可能。工作內容：1. 數據分析包含能源
Data Analyst,Dcard _狄卡科技股份有限公司,面議,2年以上,台北市大安區,員工45人,,學歷不拘,"Dcard 致力打造讓每個人都可以放心分享自己故事的社群服務，成為一個所有人都可以找到共鳴的地方。目前每個月有超過八百萬人訪問 Dcard，新增超過二十萬篇文章。為了讓我們的使用者擁有更好的體驗，我們的資料分析師必須梳理大量的資料中，從中了解使用者的需求，協助我們設計更好的產品。

每天都有數以萬計想要分享與閱讀故事的人在 Dcard 上交流，你所做的決策將能立刻接觸到龐大的使用者，在他們的生活中創造一個美好的驚喜。我們正在尋找喜愛思考、動手打造產品的資料分析師，加入我們這個熱愛挑戰的團隊，幫助我們提供更好的服務。


【你將有機會參與】
．在產品開發前期與產品經理合作，從使用者的行為資料確認產品需求。
．評估各個產品的使用狀況，運用統計模型設計、解讀各種實驗結果，並且提供可以執行的建議。
．提供客群分析結果幫助營運團隊在行銷活動中找到合適的受眾，調整行銷策略。

【必要條件】
．良好的溝通與表達能力，能夠善用各種資料視覺化方法。
．熟悉 SQL 語法，有從關聯式資料庫查詢資料的經驗。
．擁有基礎統計知識，了解各種檢定方法的使用時機與限制。

【加分條件】
．有社群資料的分析經驗。
．熟習 Python 或 R 語言。
．了解決策樹、類神經等機器學習方法。
．對於 Web 前端架構有粗略的概念。"
Data Engineer,歐立威科技股份有限公司,依公司規定,經歷不拘,台北市大同區,員工20人,,大學,"1.資料平台規劃與設計、單元測試、整合測試工作。 
2.SQL、NoSQL、MPP Database、Hadoop平台擇一熟悉為佳。 
3.結構化及非結構化資料處理與整合。 
4.協助資料研究及分析過程中需要的資料收集與處理。
5.了解或俱有程式開發經驗尤佳。"
Data QA,香港商傑風網路有限公司台灣分公司,面議,經歷不拘,台北市大安區,員工100人,,大學,"1.進行營運資料處理，分析詮釋數據，並且從中推導出合理而正確的結果，以提出說明與優化建議

2.對資料與資料結構具備高度敏感性，針對異常數據提出檢討及稽核以迅速進行除錯

3.對資料工程產出的數據報表進行常規化質檢，確保報表正確性與資料檢索、運算工具的使用品質

4.建立資料工程專案的測試計畫與測試條例，以及資料驗證的自動化測試工具，以確保功能需求的完整達成

5.提供諮詢並處理使用者使用資料庫的相關問題

6.掌握資料與數位平台的發展與應用，使業務規則化並據以提出專案規劃

7.與各業務單位合作，協助開發專案所需之資料處理與研究

8.基於訂單數據、物流數據、銷售數據等資訊進行資料分析比對，與技術研發部、商業資訊團隊建立定期有效的溝通，以協助優化業務進度流程

9.數據視覺化呈現，幫助各部門了解數據意義進而應用"
Data Scientist,現觀科技股份有限公司,面議,1年以上,台北市中正區,員工80人,外商公司,碩士,"Design and tuning ML and mathematical models
Model implementation
Model performance analysis and issue inspection
Research on ML in advertisement field
Language: technical discussion in Chinese or English"
Data Analyst,Dcard _狄卡科技股份有限公司,面議,經歷不拘,台北市大安區,員工45人,,學歷不拘,"Dcard 致力打造讓每個人都可以放心分享自己故事的社群服務，成為一個所有人都可以找到共鳴的地方。目前每個月有超過八百萬人訪問 Dcard，新增超過二十萬篇文章。為了讓我們的使用者擁有更好的體驗，我們的資料分析師必須梳理大量的資料中，從中了解使用者的需求，協助我們設計更好的產品。

每天都有數以萬計想要分享與閱讀故事的人在 Dcard 上交流，你所做的決策將能立刻接觸到龐大的使用者，在他們的生活中創造一個美好的驚喜。我們正在尋找喜愛思考、動手打造產品的資料分析師，加入我們這個熱愛挑戰的團隊，幫助我們提供更好的服務。

 
【你將有機會參與】
．在產品開發前期與產品經理合作，從使用者的行為資料確認產品需求。
．評估各個產品的使用狀況，運用統計模型設計、解讀各種實驗結果，並且提供可以執行的建議。
．提供客群分析結果幫助營運團隊在行銷活動中找到合適的受眾，調整行銷策略。

【必要條件】
．良好的溝通與表達能力，能夠善用各種資料視覺化方法。
．熟悉 SQL 語法，有從關聯式資料庫查詢資料的經驗。
．擁有基礎統計知識，了解各種檢定方法的使用時機與限制。

【加分條件】
．有社群資料的分析經驗。
．熟習 Python 或 R 語言。
．了解決策樹、類神經等機器學習方法。
．對於 Web 前端架構有粗略的概念。"
